,Carimbo de data/hora,Nome de usuário,Nome,Curso de graduação,Você estuda majoritariamente em qual turno?,"Para você, quais são os horários de aula ideais?","Atualmente os horários das disciplinas na UFMG são diversos, muitas vezes tendo disciplinas separadas por um grande intervalo de tempo. Na sua opinião, o quanto essa diversidade de horários nas disciplinas prejudica você na sua carreira profissional?
(avalie de 1 a 5)","Atualmente os horários das disciplinas na UFMG são diversos, muitas vezes tendo disciplinas separadas por um grande intervalo de tempo. Na sua opinião, o quanto essa diversidade de horários nas disciplinas prejudica você na sua carreira acadêmica?
(avalie de 1 a 5)",Espaço para observações ou comentários adicionais,"Para você, quais são os horários de aula ideais?.1","Atualmente os horários das disciplinas na UFMG são diversos, muitas vezes tendo disciplinas separadas por um grande intervalo de tempo. Na sua opinião, o quanto essa diversidade de horários nas disciplinas prejudica você na sua carreira profissional?
(avalie de 1 a 5).1","Atualmente os horários das disciplinas na UFMG são diversos, muitas vezes tendo disciplinas separadas por um grande intervalo de tempo. Na sua opinião, o quanto essa diversidade de horários nas disciplinas prejudica você na sua carreira acadêmica?
(avalie de 1 a 5).1",Espaço para observações ou comentários adicionais.1,"Para você, quais são os horários de aula ideais?.2","Atualmente os horários das disciplinas na UFMG são diversos, muitas vezes tendo disciplinas separadas por um grande intervalo de tempo. Na sua opinião, o quanto essa diversidade de horários nas disciplinas prejudica você na sua carreira profissional?
(avalie de 1 a 5).2","Atualmente os horários das disciplinas na UFMG são diversos, muitas vezes tendo disciplinas separadas por um grande intervalo de tempo. Na sua opinião, o quanto essa diversidade de horários nas disciplinas prejudica você na sua carreira acadêmica?
(avalie de 1 a 5).2",Espaço para observações ou comentários adicionais.2,Unnamed: 17
0,2023/11/22 1:38:37 AM GMT-3,redacted,redacted,Engenharia de Sistemas,Noturno,,,,,,,,,,3.0,3.0,,19:00 - 22:35
1,2023/11/24 1:56:05 PM GMT-3,redacted,redacted,Engenharia Mecânica,Diurno,,,,,8:30 - 12:10;14:00 - 17:30,2.0,2.0,,,,,,
2,2023/11/24 1:58:09 PM GMT-3,redacted,redacted,Engenharia Mecânica,Diurno,,,,,13:00 - 16:30;14:00 - 17:30;15:00 - 18:30;17:00 - 20:55,3.0,4.0,Colocar mais disciplinas optativas um pouco antes do horário noturno (antes de 19:00),,,,,
3,2023/11/24 1:58:23 PM GMT-3,redacted,redacted,Engenharia Metalúrgica,Matutino,7:30 - 11:10;13:00 - 16:30;18:00 - 21:55;19:00 - 22:35,2.0,1.0,,,,,,,,,,
4,2023/11/24 2:00:27 PM GMT-3,redacted,redacted,Engenharia Civil,Diurno,,,,,8:30 - 12:10;13:00 - 16:30,5.0,5.0,,,,,,
5,2023/11/24 2:01:31 PM GMT-3,redacted,redacted,Engenharia de Controle e Automação,Noturno,,,,,,,,,19:00 - 22:35,5.0,5.0,,
6,2023/11/24 2:02:08 PM GMT-3,redacted,redacted,Engenharia Química,Diurno,,,,,8:30 - 12:10;13:00 - 16:30,4.0,3.0,,,,,,
7,2023/11/24 2:08:56 PM GMT-3,redacted,redacted,Engenharia Ambiental,Diurno,,,,,7:30 - 11:10;8:30 - 12:10;14:00 - 17:30;15:00 - 18:30,4.0,5.0,,,,,,
8,2023/11/24 2:10:40 PM GMT-3,redacted,redacted,Engenharia de Controle e Automação,Noturno,,,,,,,,,19:00 - 22:35,4.0,4.0,Estudei muito tempo no Diurno e sempre tive horários vagos. Eu tinha q ficar esperando até a aula começar e eu perdia mto tempo nisso,
9,2023/11/24 2:12:58 PM GMT-3,redacted,redacted,Engenharia de Sistemas,Noturno,,,,,,,,,7:30 - 11:10;19:00 - 22:35,5.0,5.0,,
10,2023/11/24 2:13:07 PM GMT-3,redacted,redacted,Engenharia de Sistemas,Noturno,,,,,,,,,17:00 - 20:55;18:00 - 21:55;19:00 - 22:35,5.0,5.0,,
11,2023/11/24 2:13:45 PM GMT-3,redacted,redacted,Engenharia de Sistemas,Noturno,,,,,,,,,19:00 - 22:35,4.0,4.0,,
